Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.940000,6.030000,5.430000,5.440000,5.440000,7595600
2008-01-03,5.490000,5.720000,5.390000,5.440000,5.440000,5818000
2008-01-04,5.410000,5.420000,5.130000,5.320000,5.320000,5410900
2008-01-07,5.250000,5.330000,5.070000,5.170000,5.170000,9336000
2008-01-08,5.120000,5.230000,4.950000,4.960000,4.960000,5558800
2008-01-09,4.950000,5.030000,4.530000,4.800000,4.800000,7326900
2008-01-10,4.870000,5.230000,4.830000,4.890000,4.890000,11981600
2008-01-11,4.890000,4.910000,4.700000,4.740000,4.740000,6093700
2008-01-14,4.830000,4.830000,4.540000,4.670000,4.670000,5898600
2008-01-15,4.580000,4.870000,4.530000,4.570000,4.570000,7026900
2008-01-16,4.600000,5.020000,4.480000,4.780000,4.780000,6817500
2008-01-17,4.930000,5.070000,4.720000,4.840000,4.840000,4802900
2008-01-18,4.830000,4.920000,4.550000,4.630000,4.630000,4608500
2008-01-22,4.430000,4.850000,4.300000,4.700000,4.700000,5779800
2008-01-23,4.550000,5.200000,4.520000,5.180000,5.180000,6228700
2008-01-24,5.150000,5.180000,4.880000,4.950000,4.950000,3781800
2008-01-25,5.050000,5.140000,4.750000,4.750000,4.750000,4285800
2008-01-28,4.800000,4.960000,4.690000,4.940000,4.940000,3505500
2008-01-29,5.340000,6.050000,5.160000,5.940000,5.940000,16103400
2008-01-30,5.900000,6.500000,5.780000,6.360000,6.360000,14983100
2008-01-31,6.420000,7.000000,6.280000,6.910000,6.910000,14338900
2008-02-01,7.040000,7.160000,6.590000,6.890000,6.890000,7064200
2008-02-04,6.990000,6.990000,6.510000,6.600000,6.600000,5285900
2008-02-05,6.440000,6.690000,6.320000,6.320000,6.320000,5317900
2008-02-06,6.430000,6.820000,6.240000,6.570000,6.570000,7586300
2008-02-07,6.840000,7.290000,6.770000,7.230000,7.230000,12482700
2008-02-08,7.270000,7.330000,6.800000,6.900000,6.900000,6736300
2008-02-11,6.900000,7.050000,6.640000,6.860000,6.860000,4201000
2008-02-12,6.860000,7.030000,6.620000,6.720000,6.720000,4217800
2008-02-13,6.800000,6.920000,6.670000,6.820000,6.820000,3169700
2008-02-14,6.810000,6.830000,6.330000,6.350000,6.350000,5361400
2008-02-15,6.480000,6.490000,6.190000,6.260000,6.260000,4813900
2008-02-19,6.340000,6.390000,6.070000,6.110000,6.110000,3895200
2008-02-20,6.060000,6.270000,6.050000,6.240000,6.240000,2703600
2008-02-21,6.260000,6.520000,6.040000,6.080000,6.080000,3108500
2008-02-22,6.070000,6.160000,5.900000,6.060000,6.060000,2753700
2008-02-25,6.020000,6.180000,5.850000,6.170000,6.170000,3593800
